,g_otherprim,g_energy,g_procfoods
0,0.0143,0.2158,25.0267
1,5.7779,0.0979,0.1047
2,3.0441,195.573,19.9136
3,0.0041,0.0706,26.5645
4,0.0003,0.0036,0.0026
5,0.0004,0.0028,0.0043
6,0.0003,0.0029,0.0019
7,0.0002,0.0051,0.0028
8,0.0009,0.0255,0.0207
9,0.0055,0.1084,0.115
10,0.0,0.0,0.0
11,0.0,0.0004,0.0002
12,0.0,0.0,0.0
13,0.0058,0.1172,0.0434
14,0.0,0.0,0.0
15,0.0006,0.0241,0.0061
16,0.0,0.0,0.0
17,0.0507,3.1353,0.3805
18,0.0053,0.209,0.0613
19,0.3115,7.8977,7.7276
20,0.112,3.7346,0.8868
21,0.065,1.5188,0.5473
22,0.3821,8.2744,1.9526
23,0.0586,0.9468,0.2578
24,0.0874,1.6644,1.0064
25,0.1545,0.9235,0.4762
26,0.0159,0.1017,0.0509
27,0.1668,2.8926,17668.4
28,113.904,18.8369,493.991
29,1.9522,4426.86,860.107
30,0.0759,1.662,20529.8
31,0.0193,0.4794,27.7796
32,0.8256,2.739,164.452
33,0.0019,0.8308,1.3588
34,0.0025,0.1836,1.6104
35,0.0963,2.0884,43.4243
36,0.1113,7.5293,601.069
37,2.3173,35.4419,1364.56
38,0.0816,9.6948,147.131
39,0.697,54.4591,327.148
40,0.8171,34.3761,332.415
41,0.0479,2.6398,34.8167
42,0.1204,28.5134,84.9421
43,0.0034,0.1944,2.6147
44,0.0526,4.6255,83.2556
45,0.0003,0.1498,0.1454
46,0.0026,0.1534,5.4608
47,0.0037,0.6425,0.8798
48,0.1865,13.2494,208.653
49,0.9834,150.382,1474.71
50,0.1945,18.3172,268.687
51,1.8889,125.97,1617.85
52,0.7467,23.4845,524.33
53,0.0002,0.029,0.1591
54,24.2051,5.9438,4800.0
55,3168.75,220.452,160.816
56,327.362,8225.62,653.675
57,21.4416,4.3458,6395.12
58,2.4399,0.6804,9.6219
59,7.4254,2.3019,24.6438
60,1.2915,0.7054,2.7048
61,0.32,0.1477,0.557
