,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
25,alb,1997,oconsumer,0.436,0.1545,0.9235,0.4762,0.0161,0.1424,0.389,0.6962,0.2033,0.1133,0.0245,0.0196,0.0675,0.1455,0.0094,0.0777,0.0101,0.006,1.4934,2.6566,0.7871,0.7355,0.1581,0.4386,1.3469,4.9562,1.2843,oconsumer,0.0725,0.0745,0.4898,0.0141,0.0018,0.0684,0.3502,0.6279,0.0747,0.0121,0.0124,0.004,0.0675,0.021,0.0045,0.0585,0.0065,0.0001,0.003,0.023,0.1945,0.2961,0.0349,0.039,0.0277,0.6022,0.0527,0.341659,0.003822,0.003319,0.010427,0.003599
106,aut,1997,oconsumer,2.763,1.0425,2.635,73.1817,11.3131,2.6556,3.4654,1.6758,7.9354,21.1026,52.6338,8.199,8.4256,8.8411,32.8637,60.1408,15.6125,-0.0567,53.8289,146.973,40.2187,2.2942,3.7502,12.9528,285.274,6266.65,282.696,oconsumer,0.8399,0.432,2.0746,13.3368,3.4066,2.6175,2.3521,1.4317,6.7024,20.1434,47.1913,5.1705,8.0033,5.4621,26.5775,51.8756,3.6859,0.0,1.9421,14.1587,22.0915,0.3916,3.8003,7.9646,70.3669,933.738,3.4526,0.579429,0.019903,0.029708,0.025936,0.026878
187,bgr,1997,oconsumer,0.9601,0.0856,0.6899,2.2515,0.6324,0.5001,0.7427,0.2403,0.1318,0.1027,1.0492,0.3278,1.3538,0.0972,0.3286,0.7809,0.1181,0.028,0.8529,1.5151,1.3918,0.3106,0.0677,0.0204,1.5924,29.287,1.7023,oconsumer,0.1267,0.0558,0.3038,0.3806,0.203,0.4523,0.6141,0.1969,0.1262,0.0738,0.9456,0.3068,1.3452,0.0806,0.1478,0.4887,0.0424,0.0007,0.1009,0.0424,0.9456,0.0699,0.0622,0.0087,0.2696,3.04,0.0705,0.227258,0.002087,0.007403,0.002812,0.002457
241,bwa,1997,oconsumer,0.1439,2.9126,0.15,3.6793,0.4281,0.2034,0.2384,0.1088,0.1648,0.489,2.3822,0.2237,0.0068,0.4597,7.1319,0.9508,1.1016,0.2659,14.8639,1.1518,1.9477,0.0502,0.8153,0.1391,1.0562,48.1314,8.1557,oconsumer,0.0352,2.9049,0.096,1.0633,0.0077,0.1927,0.2064,0.1037,0.039,0.38,1.9816,0.0352,0.0068,0.175,7.1243,0.8189,0.226,0.0166,0.1662,0.1061,1.4562,0.0175,0.0861,0.0498,0.5545,10.2118,0.1412,0.717665,0.004763,0.004621,0.011298,0.004733
376,col,1997,oconsumer,0.0934,0.011,0.0601,0.3156,0.108,0.0326,0.1184,0.0265,0.0242,0.0552,0.1047,0.0095,0.0085,0.0141,0.0395,0.0817,0.0398,0.0126,0.2153,0.1921,0.1684,0.0381,0.0195,0.0894,0.0519,505.26,0.9594,oconsumer,0.0398,0.0004,0.0481,0.0219,0.001,0.0132,0.023,0.0052,0.0012,0.0108,0.0399,0.0063,0.0092,0.0047,0.004,0.0148,0.0083,0.0001,0.0002,0.0095,0.0654,0.0004,0.0004,0.0507,0.0317,26.304,0.0075,0.964692,0.001728,0.003421,0.001905,0.001876
403,cyp,1997,oconsumer,2.8519,0.2866,68.5131,5.6668,2.5339,1.9905,3.1024,0.7438,0.8767,0.4155,1.9964,0.3974,0.6293,0.1343,3.5399,1.1624,2.3308,0.1141,3.6315,18.9849,16.287,0.5589,2.0797,0.187,9.0677,123.508,5.3503,oconsumer,0.9294,0.0884,69.1653,0.9674,0.5277,0.8415,2.0195,0.2681,0.1392,0.2236,1.2019,0.4958,0.9258,0.184,2.943,0.8028,0.2203,0.0034,0.0419,0.6185,10.8262,0.0723,0.1391,0.125,1.5217,10.5046,0.0808,0.761616,0.004564,0.011937,0.055425,0.006468
430,cze,1997,oconsumer,7.8452,2.2867,2.9373,21.6155,10.36,4.5157,4.3381,3.1601,5.6047,5.7741,7.8699,6.7094,8.2053,9.6413,9.91,14.3706,3.3189,0.6291,7.6292,27.3228,43.2259,4.2473,2.1619,1.3103,42.8446,1193.18,61.9662,oconsumer,1.1136,1.3694,2.3088,3.0955,1.3408,3.7341,2.1774,1.9636,4.606,2.9681,6.0019,4.9229,8.3168,5.9917,6.9923,11.3265,1.4828,0.0232,1.2868,2.6779,32.8913,0.6931,0.8347,0.6906,8.563,94.8155,1.7395,0.388242,0.00824,0.011189,0.013475,0.010922
538,est,1997,oconsumer,0.3356,0.5429,0.6935,2.4505,0.6969,0.7293,1.2269,0.4198,1.1046,0.3885,0.4757,0.341,0.7976,0.4716,1.7953,1.5233,0.2626,0.0801,0.7184,0.5637,8.341,0.4183,0.1552,0.1174,4.046,98.3501,3.1158,oconsumer,0.0565,0.5672,0.4517,0.9578,0.0674,0.6839,1.0918,0.27,1.0905,0.2693,0.4146,0.325,0.8172,0.4406,1.5734,1.2656,0.086,0.0095,0.1089,0.1029,7.9074,0.1229,0.0421,0.0821,0.9958,17.0743,0.1461,0.457755,0.008925,0.013598,0.020012,0.012372
565,fin,1997,oconsumer,1.574,0.8639,2.0262,32.1788,8.5187,2.4286,2.6097,0.4463,11.2963,240.718,11.3783,2.0559,7.6861,4.4114,4.5323,54.476,2.0552,0.0208,19.7558,117.597,24.2718,3.4516,4.4176,3.3562,24.4964,1606.0,193.732,oconsumer,0.832,0.2521,1.8592,5.123,1.4697,1.8129,1.5055,0.2299,9.5138,214.239,9.8658,1.9645,7.5139,2.9899,3.4107,45.6904,1.103,0.0001,0.7532,6.6897,10.6949,0.5885,0.2707,1.3011,12.3489,94.0327,1.1518,0.608743,0.003333,0.005759,0.014371,0.004329
700,hrv,1997,oconsumer,9.617,1.87,-0.0979,6.9075,1.8487,0.1069,1.9439,0.1968,1.3676,1.2548,1.9452,1.7185,0.0566,0.8002,0.3449,2.789,1.2469,0.456,3.9247,3.41,18.9141,1.6515,0.0017,0.0045,7.3503,279.346,0.8399,oconsumer,0.4543,0.8013,0.001,1.7754,0.3452,0.104,1.8756,0.1656,1.5058,0.4865,1.3891,0.6721,0.0597,0.3561,0.6714,1.0271,0.2461,0.0196,0.0889,1.0121,14.0616,0.0972,0.0003,0.0014,3.1311,104.518,0.0543,0.750255,0.018891,0.036543,0.02725,0.025076
